Reponse length
+----+-----------------------------+-----------+--------------------+
|    |            model            |   mean    |        std         |
+----+-----------------------------+-----------+--------------------+
| 0  |       vicuna-13b-v1.3       | 236.8625  | 179.92778021681366 |
| 1  |        baize-v2-13b         | 236.9125  | 197.14475606454766 |
| 2  |    palm-2-chat-bison-001    | 151.73125 | 168.76228554815646 |
| 3  |       nous-hermes-13b       | 144.80625 | 106.94405645447297 |
| 4  |       vicuna-7b-v1.3        | 232.66875 | 160.13657147396873 |
| 5  |      mpt-30b-instruct       |   117.2   | 122.58200316522813 |
| 6  |        wizardlm-30b         | 205.48125 |  151.799373017274  |
| 7  |         chatglm-6b          | 234.99375 | 146.4164222720167  |
| 8  |     falcon-40b-instruct     | 124.35625 | 139.21989561818202 |
| 9  |      rwkv-4-raven-14b       | 243.14375 | 248.61382822750932 |
| 10 |        mpt-30b-chat         |  206.425  | 173.3109398595484  |
| 11 |    oasst-sft-7-llama-30b    | 175.33125 | 161.61682005112434 |
| 12 |     gpt4all-13b-snoozy      |  178.925  | 163.40584253630593 |
| 13 |       vicuna-33b-v1.3       | 298.64375 | 194.11837068123538 |
| 14 |         alpaca-13b          | 73.21875  | 60.90624679322721  |
| 15 |         mpt-7b-chat         | 169.63125 | 133.1751488583268  |
| 16 |          llama-13b          |  160.275  | 258.99652386663416 |
| 17 | h2ogpt-oasst-open-llama-13b | 204.2125  | 202.11003771151496 |
| 18 |            gpt-4            | 252.9875  | 186.10380126088236 |
| 19 |          koala-13b          | 249.18125 | 222.4639822497959  |
| 20 |         guanaco-33b         |  241.775  | 170.72034698594072 |
| 21 |          claude-v1          |  225.15   | 133.7988322071609  |
| 22 |        gpt-3.5-turbo        | 201.75625 | 150.55828385026678 |
| 23 |          tulu-30b           | 157.8875  | 133.81021950415447 |
| 24 |        wizardlm-13b         | 197.7625  | 151.7606869177588  |
| 25 |   stablelm-tuned-alpha-7b   | 529.05625 | 385.7523533122481  |
| 26 |        dolly-v2-12b         | 108.65625 | 147.68535162952858 |
| 27 |      claude-instant-v1      | 210.56875 | 118.09607433542192 |
| 28 |         guanaco-65b         |  233.725  | 173.09148412039224 |
| 29 |   oasst-sft-4-pythia-12b    | 142.9625  | 161.4225002710279  |
| 30 |       fastchat-t5-3b        | 229.46875 | 188.7736052085606  |
+----+-----------------------------+-----------+--------------------+
Total comparisons: 4960. Failed to response: 0
Total comparisons: 4960. Non exact matches:  4800
Extracted 4800 answers from the responses (extraction success rate 100.00%)
3354 out of 4800 answers are consistent. (A vs. B <-> B vs. A) The consistent rate is 69.88%
(Win + Draw / 2) w. vicuna-13b-v1.3: 
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
|    |            model            | Overall-lang |   EN   | coding | extraction | humanities |  math  | reasoning | roleplay |  stem  | writing |
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
| 15 |       vicuna-13b-v1.3       |     nan      |  nan   |  nan   |    nan     |    nan     |  nan   |    nan    |   nan    |  nan   |   nan   |
| 28 |          claude-v1          |    0.9375    | 0.9375 |  1.0   |   0.8889   |    1.0     | 0.9375 |    1.0    |  0.8889  |  0.9   |   1.0   |
| 13 |            gpt-4            |    0.9364    | 0.9364 |  1.0   |    1.0     |    1.0     | 0.8889 |  0.6875   |   1.0    |  1.0   |   1.0   |
| 12 |       vicuna-33b-v1.3       |    0.8725    | 0.8725 | 0.875  |   0.8571   |    1.0     | 0.7857 |    0.8    |   1.0    |  1.0   | 0.7143  |
| 25 |      claude-instant-v1      |    0.8571    | 0.8571 |  1.0   |   0.7778   |   0.6667   | 0.875  |    1.0    |   1.0    |  1.0   |   0.4   |
| 16 |        gpt-3.5-turbo        |    0.6809    | 0.6809 |  1.0   |   0.875    |    0.2     | 0.7778 |    0.5    |   1.0    | 0.5714 |   0.5   |
| 26 |        wizardlm-30b         |    0.5119    | 0.5119 |  0.5   |   0.8571   |    0.0     | 0.625  |  0.2857   |   0.5    | 0.8333 | 0.1667  |
| 11 |        mpt-30b-chat         |    0.5116    | 0.5116 | 0.6667 |   0.8333   |    0.25    |  0.8   |  0.2857   |  0.6667  | 0.3333 | 0.3333  |
| 18 |         guanaco-65b         |    0.413     | 0.413  |  0.5   |   0.7143   |    0.25    | 0.3333 |  0.2857   |   0.2    | 0.3333 |   0.5   |
| 2  |       vicuna-7b-v1.3        |    0.407     | 0.407  |  0.4   |   0.5714   |    0.0     |  0.5   |   0.125   |   0.75   |  0.5   |   0.4   |
| 14 |    oasst-sft-7-llama-30b    |    0.3772    | 0.3772 |  0.0   |    0.7     |   0.1667   |  0.5   |   0.25    |  0.6667  | 0.4286 | 0.2857  |
| 3  |         guanaco-33b         |    0.3627    | 0.3627 |  0.2   |   0.6667   |    0.25    | 0.4167 |  0.3333   |   0.5    | 0.5714 |   0.0   |
| 17 |          tulu-30b           |    0.3617    | 0.3617 | 0.1667 |   0.7143   |    0.0     | 0.6667 |  0.1667   |   0.4    | 0.2857 | 0.2857  |
| 27 |        wizardlm-13b         |    0.3367    | 0.3367 | 0.2857 |    0.4     |    0.0     | 0.3571 |   0.125   |   0.5    | 0.4444 |   0.5   |
| 0  |    palm-2-chat-bison-001    |    0.3235    | 0.3235 |  0.25  |   0.875    |   0.1429   |  0.7   |    0.0    |   0.2    |  0.0   | 0.3333  |
| 7  |        baize-v2-13b         |    0.2264    | 0.2264 | 0.1429 |   0.4286   |   0.1429   | 0.1667 |  0.1111   |  0.6667  |  0.25  | 0.1667  |
| 30 |      mpt-30b-instruct       |    0.1727    | 0.1727 | 0.1667 |   0.7143   |    0.0     | 0.625  |    0.0    |  0.1667  |  0.0   |   0.0   |
| 5  |          koala-13b          |    0.1383    | 0.1383 |  0.0   |   0.2857   |    0.0     |  0.25  |    0.0    |   0.5    | 0.1429 |   0.0   |
| 8  |         mpt-7b-chat         |    0.1346    | 0.1346 |  0.2   |    0.8     |    0.0     | 0.1667 |    0.0    |   0.0    | 0.1111 |   0.0   |
| 1  |       nous-hermes-13b       |    0.0932    | 0.0932 | 0.2222 |    0.0     |    0.0     | 0.3571 |    0.1    |   0.0    |  0.0   |   0.0   |
| 10 |     gpt4all-13b-snoozy      |    0.0727    | 0.0727 |  0.0   |   0.1667   |   0.1429   |  0.0   |    0.0    |   0.25   |  0.0   |   0.0   |
| 20 |         alpaca-13b          |    0.058     | 0.058  |  0.0   |    0.0     |    0.0     | 0.375  |    0.0    |  0.1111  |  0.0   |   0.0   |
| 29 | h2ogpt-oasst-open-llama-13b |    0.0455    | 0.0455 |  0.0   |   0.1667   |    0.0     |  0.1   |    0.0    |   0.0    | 0.1111 |   0.0   |
| 6  |   oasst-sft-4-pythia-12b    |    0.0373    | 0.0373 |  0.0   |    0.0     |    0.0     | 0.2143 |    0.0    |  0.125   |  0.0   |   0.0   |
| 23 |         chatglm-6b          |    0.0254    | 0.0254 | 0.125  |    0.0     |    0.0     |  0.1   |    0.0    |   0.0    |  0.0   |   0.0   |
| 19 |     falcon-40b-instruct     |    0.025     | 0.025  |  0.0   |    0.0     |    0.0     | 0.0833 |    0.0    |   0.0    |  0.0   |  0.125  |
| 24 |        dolly-v2-12b         |    0.0211    | 0.0211 |  0.0   |    0.0     |    0.0     | 0.2143 |    0.0    |   0.0    |  0.0   |   0.0   |
| 21 |          llama-13b          |    0.0208    | 0.0208 |  0.0   |    0.0     |    0.0     |  0.1   |    0.0    |  0.1111  |  0.0   |   0.0   |
| 22 |   stablelm-tuned-alpha-7b   |    0.0137    | 0.0137 |  0.0   |    0.0     |    0.0     | 0.1111 |    0.0    |   0.0    |  0.0   |   0.0   |
| 9  |       fastchat-t5-3b        |     0.0      |  0.0   |  0.0   |    0.0     |    0.0     |  0.0   |    0.0    |   0.0    |  0.0   |   0.0   |
| 4  |      rwkv-4-raven-14b       |     0.0      |  0.0   |  0.0   |    0.0     |    0.0     |  0.0   |    0.0    |   0.0    |  0.0   |   0.0   |
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
(Win + Both Good) w. vicuna-13b-v1.3: 
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
|    |            model            | Overall-lang |   EN   | coding | extraction | humanities |  math  | reasoning | roleplay |  stem  | writing |
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
| 15 |       vicuna-13b-v1.3       |     nan      |  nan   |  nan   |    nan     |    nan     |  nan   |    nan    |   nan    |  nan   |   nan   |
| 28 |          claude-v1          |    0.9464    | 0.9464 |  1.0   |   0.8889   |    1.0     |  1.0   |    1.0    |  0.8889  |  0.9   |   1.0   |
| 13 |            gpt-4            |    0.9455    | 0.9455 |  1.0   |    1.0     |    1.0     | 0.8889 |   0.75    |   1.0    |  1.0   |   1.0   |
| 12 |       vicuna-33b-v1.3       |    0.902     | 0.902  | 0.875  |   0.8571   |    1.0     |  1.0   |    0.8    |   1.0    |  1.0   | 0.7143  |
| 25 |      claude-instant-v1      |    0.875     | 0.875  |  1.0   |   0.7778   |   0.6667   |  1.0   |    1.0    |   1.0    |  1.0   |   0.4   |
| 16 |        gpt-3.5-turbo        |    0.6809    | 0.6809 |  1.0   |   0.875    |    0.2     | 0.7778 |    0.5    |   1.0    | 0.5714 |   0.5   |
| 11 |        mpt-30b-chat         |    0.5349    | 0.5349 | 0.6667 |   0.8333   |    0.25    |  1.0   |  0.2857   |  0.6667  | 0.3333 | 0.3333  |
| 26 |        wizardlm-30b         |    0.5238    | 0.5238 |  0.5   |   0.8571   |    0.0     |  0.75  |  0.2857   |   0.5    | 0.8333 | 0.1667  |
| 2  |       vicuna-7b-v1.3        |    0.4419    | 0.4419 |  0.4   |   0.5714   |    0.0     |  0.8   |   0.125   |   0.75   |  0.5   |   0.4   |
| 18 |         guanaco-65b         |    0.413     | 0.413  |  0.5   |   0.7143   |    0.25    | 0.3333 |  0.2857   |   0.2    | 0.3333 |   0.5   |
| 14 |    oasst-sft-7-llama-30b    |    0.4035    | 0.4035 |  0.0   |    0.7     |   0.1667   | 0.6667 |   0.25    |  0.6667  | 0.4286 | 0.2857  |
| 17 |          tulu-30b           |    0.383     | 0.383  | 0.1667 |   0.7143   |    0.0     | 0.8333 |  0.1667   |   0.4    | 0.2857 | 0.2857  |
| 3  |         guanaco-33b         |    0.3725    | 0.3725 |  0.2   |   0.6667   |    0.25    |  0.5   |  0.3333   |   0.5    | 0.5714 |   0.0   |
| 27 |        wizardlm-13b         |    0.3673    | 0.3673 | 0.2857 |    0.4     |    0.0     | 0.5714 |   0.125   |   0.5    | 0.4444 |   0.5   |
| 0  |    palm-2-chat-bison-001    |    0.3333    | 0.3333 |  0.25  |   0.875    |   0.1429   |  0.8   |    0.0    |   0.2    |  0.0   | 0.3333  |
| 7  |        baize-v2-13b         |    0.2453    | 0.2453 | 0.1429 |   0.4286   |   0.1429   | 0.3333 |  0.1111   |  0.6667  |  0.25  | 0.1667  |
| 30 |      mpt-30b-instruct       |    0.1818    | 0.1818 | 0.1667 |   0.7143   |    0.0     |  0.75  |    0.0    |  0.1667  |  0.0   |   0.0   |
| 5  |          koala-13b          |    0.1702    | 0.1702 |  0.0   |   0.2857   |    0.0     |  0.5   |    0.0    |   0.5    | 0.1429 |   0.0   |
| 8  |         mpt-7b-chat         |    0.1538    | 0.1538 |  0.2   |    0.8     |    0.0     | 0.3333 |    0.0    |   0.0    | 0.1111 |   0.0   |
| 1  |       nous-hermes-13b       |    0.1186    | 0.1186 | 0.2222 |    0.0     |    0.0     | 0.5714 |    0.1    |   0.0    |  0.0   |   0.0   |
| 20 |         alpaca-13b          |    0.087     | 0.087  |  0.0   |    0.0     |    0.0     | 0.625  |    0.0    |  0.1111  |  0.0   |   0.0   |
| 10 |     gpt4all-13b-snoozy      |    0.0727    | 0.0727 |  0.0   |   0.1667   |   0.1429   |  0.0   |    0.0    |   0.25   |  0.0   |   0.0   |
| 29 | h2ogpt-oasst-open-llama-13b |    0.0545    | 0.0545 |  0.0   |   0.1667   |    0.0     |  0.2   |    0.0    |   0.0    | 0.1111 |   0.0   |
| 6  |   oasst-sft-4-pythia-12b    |    0.0448    | 0.0448 |  0.0   |    0.0     |    0.0     | 0.2857 |    0.0    |  0.125   |  0.0   |   0.0   |
| 23 |         chatglm-6b          |    0.0339    | 0.0339 | 0.125  |    0.0     |    0.0     |  0.2   |    0.0    |   0.0    |  0.0   |   0.0   |
| 19 |     falcon-40b-instruct     |    0.0333    | 0.0333 |  0.0   |    0.0     |    0.0     | 0.1667 |    0.0    |   0.0    |  0.0   |  0.125  |
| 24 |        dolly-v2-12b         |    0.0282    | 0.0282 |  0.0   |    0.0     |    0.0     | 0.2857 |    0.0    |   0.0    |  0.0   |   0.0   |
| 21 |          llama-13b          |    0.0278    | 0.0278 |  0.0   |    0.0     |    0.0     |  0.2   |    0.0    |  0.1111  |  0.0   |   0.0   |
| 22 |   stablelm-tuned-alpha-7b   |    0.0137    | 0.0137 |  0.0   |    0.0     |    0.0     | 0.1111 |    0.0    |   0.0    |  0.0   |   0.0   |
| 9  |       fastchat-t5-3b        |     0.0      |  0.0   |  0.0   |    0.0     |    0.0     |  0.0   |    0.0    |   0.0    |  0.0   |   0.0   |
| 4  |      rwkv-4-raven-14b       |     0.0      |  0.0   |  0.0   |    0.0     |    0.0     |  0.0   |    0.0    |   0.0    |  0.0   |   0.0   |
+----+-----------------------------+--------------+--------+--------+------------+------------+--------+-----------+----------+--------+---------+
