model,mean,std
vicuna-13b-v1.3,236.8625,179.92778021681366
baize-v2-13b,236.9125,197.14475606454766
palm-2-chat-bison-001,151.73125,168.76228554815646
nous-hermes-13b,144.80625,106.94405645447297
vicuna-7b-v1.3,232.66875,160.13657147396873
mpt-30b-instruct,117.2,122.58200316522813
wizardlm-30b,205.48125,151.799373017274
chatglm-6b,234.99375,146.4164222720167
falcon-40b-instruct,124.35625,139.21989561818202
rwkv-4-raven-14b,243.14375,248.61382822750932
mpt-30b-chat,206.425,173.3109398595484
oasst-sft-7-llama-30b,175.33125,161.61682005112434
gpt4all-13b-snoozy,178.925,163.40584253630593
vicuna-33b-v1.3,298.64375,194.11837068123538
alpaca-13b,73.21875,60.90624679322721
mpt-7b-chat,169.63125,133.1751488583268
llama-13b,160.275,258.99652386663416
h2ogpt-oasst-open-llama-13b,204.2125,202.11003771151496
gpt-4,252.9875,186.10380126088236
koala-13b,249.18125,222.4639822497959
guanaco-33b,241.775,170.72034698594072
claude-v1,225.15,133.7988322071609
gpt-3.5-turbo,201.75625,150.55828385026678
tulu-30b,157.8875,133.81021950415447
wizardlm-13b,197.7625,151.7606869177588
stablelm-tuned-alpha-7b,529.05625,385.7523533122481
dolly-v2-12b,108.65625,147.68535162952858
claude-instant-v1,210.56875,118.09607433542192
guanaco-65b,233.725,173.09148412039224
oasst-sft-4-pythia-12b,142.9625,161.4225002710279
fastchat-t5-3b,229.46875,188.7736052085606
